stack,tam_msg,error_rate,prueba,mensaje,resultado
convolucional,8,0.01,1,wzcUjx7F,timeout
convolucional,8,0.01,2,a8UNkNLl,timeout
convolucional,8,0.01,3,dHfYjfWQ,timeout
convolucional,8,0.01,4,quSTx1R3,timeout
convolucional,8,0.01,5,HpkCqNAC,timeout
convolucional,8,0.01,6,Z9ntSesV,timeout
convolucional,8,0.01,7,uf7Frunk,timeout
convolucional,8,0.01,8,R5S6YL0u,timeout
convolucional,8,0.01,9,dGeTVPtk,timeout
convolucional,8,0.01,10,wuVZ813s,timeout
convolucional,8,0.05,1,ywnufFn6,timeout
convolucional,8,0.05,2,E4dhxSwa,timeout
convolucional,8,0.05,3,jyTiupSr,timeout
convolucional,8,0.05,4,ZCecDeYA,timeout
convolucional,8,0.05,5,s1VAxnuc,timeout
convolucional,8,0.05,6,98sMfyDm,timeout
convolucional,8,0.05,7,srJmQ3Ve,timeout
convolucional,8,0.05,8,TsUE5QK8,timeout
convolucional,8,0.05,9,3IwMWSnv,timeout
convolucional,8,0.05,10,FSZnODkG,timeout
convolucional,16,0.01,1,zjuWWeJSildqJPGB,timeout
convolucional,16,0.01,2,cYMbQcaIZzURnFwc,timeout
convolucional,16,0.01,3,6jfk0zwDy5EeMjcC,timeout
convolucional,16,0.01,4,bn9FMkgXfbV4kePb,timeout
convolucional,16,0.01,5,1FUFIOU2sgZ8Z2it,timeout
convolucional,16,0.01,6,90I6MjSStsAmJSAf,timeout
convolucional,16,0.01,7,GfPHkefGzoOJTtMG,timeout
convolucional,16,0.01,8,Bin0w0w3lSA0TRpm,timeout
convolucional,16,0.01,9,URqm0TByzUNfcHqL,timeout
convolucional,16,0.01,10,P1E6zjfv3I4D9dbW,timeout
convolucional,16,0.05,1,n41cl8St85U1KyBA,timeout
convolucional,16,0.05,2,GIyitb6DjpAbTqcG,timeout
convolucional,16,0.05,3,O325et75sXZHP9u1,timeout
convolucional,16,0.05,4,VXPkBXNyPiBKw3In,timeout
convolucional,16,0.05,5,MXWAtGaVGdG4BUPh,timeout
convolucional,16,0.05,6,rqUUOB7zLQCIzpSB,timeout
convolucional,16,0.05,7,9QdHZQhZK6tAkCET,timeout
convolucional,16,0.05,8,n0tpc3VMr3DPOxDq,timeout
convolucional,16,0.05,9,DKJwSF3cBUUXBcRY,timeout
convolucional,16,0.05,10,qPH3P2UfU38sl8tu,timeout
convolucional,32,0.01,1,ctsJV12EJUhnw84bAR5ioOSUMmO3ADlK,timeout
convolucional,32,0.01,2,0iI5IaDSaW9BwQDKmE5M3IStVWNQMEaK,timeout
convolucional,32,0.01,3,d0FrKWw5ENsJnqLqYwKR4Ygw6cnmaUkI,timeout
convolucional,32,0.01,4,jKqnEs2DFb8NPJayQapXl6G3ZdAqbLfY,timeout
convolucional,32,0.01,5,drhLnOktAApqlcaqZ7qYCoPyjP2idlqQ,timeout
convolucional,32,0.01,6,9TQv8xSNZbWWyu7p1QrE92ySqS5X9XbK,timeout
convolucional,32,0.01,7,wzF5m2zEjMhECQ2btfPaff82O5EYr5NW,timeout
convolucional,32,0.01,8,xyRpLaCAtlORsE3IK3hfua8hMuczRDyi,timeout
convolucional,32,0.01,9,wf1ZdpyGTbMo7AwMCdeVgmuTh2qHfj1Y,timeout
convolucional,32,0.01,10,bYm7gY9DXwu5KduZUNI3ib4nPQXwgs2l,timeout
convolucional,32,0.05,1,0u9BQW74GAfKDrHniqGUBvwkcmp0ma8O,timeout
convolucional,32,0.05,2,G1ZcYcQpGppsHYynkrFlCRNMjRnZ3aAl,timeout
convolucional,32,0.05,3,ijr7jGR4V6Nz3b0FiXY9ARKqiaflq0aw,timeout
convolucional,32,0.05,4,rftzxP2W4rgWxlq7Lwl5ulDDNRdht9J3,timeout
convolucional,32,0.05,5,kherL5HlTgLeA2Tjq2cyRKtofiKES6Qa,timeout
convolucional,32,0.05,6,slSiCZbV9qF1SdSrkMCEE5wcHwRpVKVL,timeout
convolucional,32,0.05,7,dhEl7ODpGRVfBC85QS7hyEr8FXFBtLOZ,timeout
convolucional,32,0.05,8,K91MhgQSBexYeyUzMuyFaVFD08p7I56a,timeout
convolucional,32,0.05,9,aTR6SL3DVpmZ1t09pWpeEY0kTAbRtiOc,timeout
convolucional,32,0.05,10,FChENZ6go0xJRQJmb7bfz55MMCRcpOsx,timeout
